,A,B,C,D,E,S
351,4.49,17.73,4.46,3.22,8.19,1427.78
352,2.74,9.36,5.63,15.98,7.19,1873.41
353,3.93,16.89,5.43,18.6,7.6,3120.64
354,1.92,14.66,5.88,4.07,7.05,4406.86
355,2.95,8.54,5.46,12.17,5.47,2049.07
356,3.89,9.52,5.64,16.17,6.43,2554.55
357,3.85,7.31,4.93,16.46,7.97,3155.9
358,4.52,21.6,4.62,10.48,5.05,4033.8
359,2.99,28.36,4.74,10.39,7.6,570.93
360,1.44,21.44,5.75,10.02,6.31,3175.43
361,1.06,15.56,5.51,2.8,2.57,1293.21
362,1.42,21.88,5.13,17.63,5.11,3995.1
363,2.7,4.77,4.38,19.52,2.02,1055.69
364,4.77,19.96,5.37,13.95,5.81,2156.32
365,1.42,14.08,5.31,20.27,8.35,4845.11
366,1.36,5.61,4.09,16.61,2.45,1408.1
367,2.66,2.0,5.58,20.77,3.3,3622.52
368,3.6,11.62,4.84,10.79,7.54,991.95
369,2.46,10.43,5.74,8.3,2.07,4361.77
370,3.68,18.04,4.59,18.87,4.48,4959.77
371,1.92,6.15,5.28,4.17,2.14,3160.68
372,3.78,18.33,5.51,4.16,7.0,3453.6
373,1.54,14.88,4.32,17.28,8.54,3974.64
374,1.81,4.3,4.11,11.24,3.48,2878.83
375,2.62,24.31,5.89,2.66,6.98,1955.71
376,1.47,16.59,5.04,19.06,2.63,3777.86
377,3.38,3.43,4.1,18.96,4.81,679.2
378,4.22,6.54,5.21,13.78,5.53,3642.89
379,1.82,24.26,5.73,16.43,8.86,3580.59
380,3.34,14.36,4.53,12.74,4.31,2227.24
381,4.02,11.21,4.47,22.33,7.47,2492.81
382,2.76,7.73,4.66,15.73,6.24,2246.9
383,4.14,9.97,5.45,17.89,5.15,1823.85
384,1.33,7.53,4.44,2.29,5.34,526.88
385,3.95,14.34,5.66,3.21,6.48,4841.22
386,3.37,7.82,4.11,12.61,5.07,4460.39
387,2.34,16.12,5.26,6.39,6.9,2419.81
388,2.16,28.24,4.55,14.29,5.78,4082.11
389,4.59,17.78,5.95,10.86,5.98,4459.42
390,1.23,5.5,4.71,15.98,5.33,1375.47
391,2.46,27.89,4.13,22.76,6.51,3402.64
392,1.8,5.79,5.59,15.9,8.71,3562.3
393,3.04,16.87,4.16,15.5,8.15,3320.69
394,2.94,7.23,4.37,21.96,6.02,2214.43
395,2.23,12.75,5.64,7.39,2.1,3030.71
396,1.85,5.52,4.57,15.86,6.97,515.2
397,3.97,3.12,4.85,8.17,7.42,2306.64
398,2.5,20.87,4.15,3.38,3.03,4364.44
399,3.67,8.33,5.72,7.39,3.04,554.22
400,3.92,11.47,5.07,3.06,7.07,1524.3
401,1.2,15.35,4.62,20.84,5.47,2742.06
402,1.73,18.28,5.19,9.09,4.12,2989.58
403,3.68,11.82,5.79,7.12,2.37,4630.51
404,3.81,9.79,4.37,7.01,2.83,877.9
405,4.67,17.2,4.78,18.86,3.16,4195.76
406,4.41,16.11,4.45,13.27,7.92,1236.34
407,2.97,25.3,5.97,11.71,4.84,1709.97
408,1.84,26.91,4.07,19.58,3.32,1660.8
409,4.55,20.03,5.92,18.95,8.35,4517.19
410,4.38,19.33,4.53,6.61,8.19,3033.24
411,4.78,26.67,4.07,13.85,3.23,2688.42
412,3.63,12.78,4.16,13.89,5.4,3907.79
413,1.11,18.51,5.82,16.99,8.5,2984.38
414,1.25,24.93,4.24,4.76,2.9,1792.44
415,2.51,8.95,4.6,4.97,7.74,986.28
416,1.08,29.62,4.19,12.74,3.84,4820.55
417,2.28,7.93,5.53,21.74,8.93,2378.51
418,2.16,25.01,4.07,6.67,4.61,4450.95
419,2.26,14.68,4.53,3.4,8.08,3333.78
420,3.73,24.49,4.11,22.75,3.42,999.81
421,1.99,12.34,4.35,17.1,8.75,3021.67
422,2.35,16.61,5.86,12.58,8.55,4790.87
423,4.27,15.02,4.52,12.39,7.19,2411.65
424,4.03,9.54,5.64,9.32,6.15,3906.5
425,4.49,13.58,5.12,10.5,6.74,3609.4
426,4.82,16.4,4.3,4.21,7.81,3084.69
427,4.27,26.48,4.84,10.79,2.9,972.28
428,2.45,11.37,5.63,17.37,2.85,1978.69
429,1.62,21.32,5.86,20.03,3.85,1282.95
430,4.7,15.43,5.96,22.97,2.94,3871.1
431,4.61,27.09,5.18,22.72,7.96,1439.67
432,2.91,4.19,4.98,3.96,6.08,1021.64
433,2.41,10.78,4.82,18.7,6.78,2214.97
434,4.73,24.23,4.61,4.76,7.74,2681.78
435,1.95,22.93,4.66,3.44,4.76,2919.5
436,3.15,13.26,5.65,16.05,4.03,3753.4
437,1.66,29.54,5.69,5.36,4.96,3117.62
438,3.36,25.57,4.1,20.98,7.1,1646.76
439,1.69,29.02,5.69,9.76,6.31,3330.68
440,4.88,13.1,4.03,16.82,7.69,4287.18
441,2.58,7.55,4.51,18.79,7.57,2463.66
442,3.8,27.95,4.13,13.55,6.18,1661.4
443,4.36,25.0,5.28,15.68,2.27,795.53
444,3.57,3.84,4.01,7.62,6.83,4833.3
445,4.07,13.59,5.65,2.07,7.22,4972.11
446,2.25,13.73,5.98,3.58,5.7,1709.8
447,3.31,24.78,5.86,17.7,3.07,1083.28
448,3.23,17.03,5.62,11.11,8.81,3542.49
449,4.12,19.7,5.61,17.81,4.37,3849.52
450,4.09,20.57,5.08,6.55,5.02,1861.51
451,4.55,13.95,5.8,20.35,2.54,2462.77
452,4.6,16.67,5.77,19.7,5.59,1308.65
453,3.67,22.51,5.86,17.71,7.41,1951.91
454,2.65,12.0,4.66,1.43,8.84,4764.26
455,2.0,6.57,5.57,18.79,6.38,3218.51
456,1.73,11.05,4.27,13.07,7.16,957.01
457,4.22,29.58,4.27,6.44,7.09,2382.31
458,2.51,17.21,5.73,16.43,2.27,1185.19
459,4.51,23.02,4.31,8.85,2.92,2727.53
460,2.4,28.76,4.21,22.28,3.98,2768.43
461,2.85,28.41,5.23,15.44,3.6,1319.55
462,4.24,25.49,4.36,21.45,5.08,4111.73
463,3.83,11.73,5.22,2.78,2.55,1461.51
464,4.46,22.47,5.61,2.01,2.36,799.85
465,2.68,14.17,5.23,22.56,2.51,4457.75
466,4.01,27.71,4.35,3.24,4.34,3211.74
467,1.42,17.24,5.7,4.6,3.68,3876.41
468,3.76,4.39,5.07,9.78,2.74,1518.45
469,1.08,19.36,4.95,15.9,5.76,2730.99
470,3.35,11.2,4.68,22.8,6.17,596.68
471,3.57,24.79,4.92,14.66,2.63,1795.1
472,1.19,17.67,5.12,9.19,3.17,4198.82
473,2.26,24.03,4.65,17.99,8.57,2165.26
474,1.04,25.36,5.0,8.54,4.97,4889.96
475,3.75,11.69,4.05,18.05,2.03,2112.05
476,1.85,16.84,4.84,11.15,6.61,1216.63
477,4.71,25.6,4.91,12.02,3.61,3450.2
478,1.12,24.91,5.91,6.66,4.08,501.34
479,4.22,5.97,5.43,9.83,5.39,3847.13
480,1.03,23.41,5.99,6.64,5.74,868.33
481,4.46,28.78,5.48,17.38,8.38,1164.55
482,3.62,23.95,5.93,15.55,3.54,1555.88
483,3.09,22.75,4.84,20.57,8.14,2466.1
484,4.41,6.82,5.12,4.61,6.22,3891.95
485,3.22,2.18,4.98,14.91,2.32,3753.86
486,2.42,8.94,5.55,16.24,5.61,3420.56
487,2.86,17.01,4.35,1.53,6.5,1399.06
488,4.91,26.02,4.12,2.97,5.34,4066.03
489,3.42,6.14,4.18,12.25,6.85,4792.96
490,2.44,27.42,4.1,22.06,5.25,832.73
491,2.81,20.13,5.11,15.96,6.47,3667.9
492,4.7,28.7,5.33,9.0,8.56,3696.12
493,1.3,2.78,5.4,7.08,7.51,2825.84
494,2.15,29.48,5.5,12.41,5.86,3444.51
495,1.37,14.64,5.54,14.78,7.66,2867.86
496,4.67,22.77,4.47,12.05,8.52,2525.76
497,1.84,4.34,5.17,15.76,5.82,4749.92
498,4.82,20.07,4.77,18.26,6.3,1141.51
499,3.77,3.73,5.33,13.3,2.6,2265.89
500,1.83,16.36,4.12,1.36,7.31,3451.57
501,1.36,16.12,5.92,2.5,3.71,798.74
502,1.08,14.98,5.21,18.36,6.61,3741.48
503,4.24,11.43,4.41,4.78,5.64,2939.46
504,4.4,10.19,4.45,5.35,4.65,1123.4
505,4.39,2.18,4.23,2.37,6.93,2531.4
506,1.06,29.69,5.35,11.11,4.63,1716.74
507,2.3,26.9,4.82,4.91,3.69,4547.16
508,4.02,9.02,5.41,9.31,7.06,3231.56
509,3.24,3.8,4.05,13.67,5.8,4788.54
510,2.08,24.67,4.48,16.2,5.95,3716.7
511,1.43,7.93,4.78,9.03,2.59,1974.26
512,1.4,3.15,5.33,3.26,6.53,1142.34
513,2.91,28.9,4.22,4.75,2.32,1103.61
514,2.98,17.09,5.38,18.45,7.56,2557.44
515,4.25,21.84,4.22,13.47,7.55,4269.23
516,2.62,2.5,5.0,6.34,4.68,1809.69
517,1.06,9.38,5.12,21.15,4.71,4731.93
518,3.47,20.65,4.28,13.7,8.79,3102.07
